Time,Latitude,Longitude,Type,Activity Time,User Id
1484408206000,382525457,217442935,STILL,1484408195559,1
1484428645891,382527311,217443610,STILL,1484428646087,1
1484509845353,382524968,217445819,STILL,1484509844588,1
1484539799244,382526663,217443356,STILL,1484539802916,1
1484546119167,382526663,217443356,STILL,1484546122827,1
1484546669264,382526663,217443356,STILL,1484546672802,1
1484547627442,382526663,217443356,STILL,1484547335508,1
1486060714474,382567509,217477719,WALKING,1486060730425,1
1486060959148,382567509,217477719,WALKING,1486060975124,1
1486061203692,382532964,217439059,WALKING,1486061217366,1
1486061203692,382532964,217439059,EXITING_VEHICLE,1486061217400,1
1486144968177,382550916,217437660,STILL,1486144863728,1
1486144968177,382550916,217437660,STILL,1486145095066,1
1486145769229,382526008,217434401,TILTING,1486145387669,1
1486145769229,382526008,217434401,UNKNOWN,1486145680272,1
1486145769229,382526008,217434401,TILTING,1486145785731,1
1486145887879,382532524,217419030,RUNNING,1486145891190,1
1486146740219,382532524,217419030,TILTING,1486146746205,1
1486204038816,382533149,217444183,RUNNING,1486203955886,1
1486204171773,382550569,217457691,WALKING,1486204169429,1
1486204421228,382567509,217477719,UNKNOWN,1486204418846,1
1486204595072,382567509,217477719,TILTING,1486204505236,1
1486204595072,382567509,217477719,WALKING,1486204591626,1
1486204693755,382567509,217477719,UNKNOWN,1486204713241,1
1486205727831,382567509,217477719,STILL,1486205730745,1
1486205911904,382567509,217477719,STILL,1486205912099,1
1486206001296,382567509,217477719,STILL,1486206011896,1
1486206152451,382567509,217477719,STILL,1486206193045,1
1486206373899,382567509,217477719,STILL,1486206374115,1
1486207967653,382567509,217477719,STILL,1486208072168,1
1486210255541,382567509,217477719,STILL,1486210353358,1
1486210648094,382567509,217477719,STILL,1486210671204,1
1486210648094,382567509,217477719,STILL,1486210736021,1
1486245724831,382560381,217486103,STILL,1486245725029,1
1486246170208,382560381,217486103,STILL,1486246177748,1
1486247057272,382560381,217486103,STILL,1486247057540,1
1486247656783,382560381,217486103,STILL,1486247657055,1
1486248023332,382560381,217486103,STILL,1486248023653,1
1486248570036,382560381,217486103,STILL,1486248570335,1
1486249109283,382560381,217486103,STILL,1486249109423,1
1486251038871,382550916,217437660,STILL,1486251045041,1
1486252502257,382550916,217437660,STILL,1486252639820,1
1486252843057,382550916,217437660,STILL,1486252849066,1
1486253147371,382550916,217437660,STILL,1486253154921,1
1486253756594,382550916,217437660,STILL,1486253756750,1
1486255094214,382550916,217437660,STILL,1486255100337,1
1486255772561,382550916,217437660,STILL,1486255780130,1
1486259205616,382550916,217437660,STILL,1486259211673,1
1486259877770,382550916,217437660,STILL,1486259883825,1
1486260572913,382550916,217437660,STILL,1486260572992,1
1486261202136,382550916,217437660,STILL,1486261202044,1
1486261805333,382550916,217437660,STILL,1486261754143,1
1486262478409,382550916,217437660,STILL,1486262478624,1
1486262805179,382526359,217443482,STILL,1486262805197,1
1486263110821,382550916,217437660,STILL,1486263111317,1
1486263653286,382550916,217437660,STILL,1486263654080,1
1486263715338,382550916,217437660,STILL,1486263721420,1
1486265448834,382550916,217437660,STILL,1486265338170,1
1486266145654,382550916,217437660,STILL,1486266145773,1
1486266260678,382550916,217437660,STILL,1486266260674,1
1486266583558,382550916,217437660,STILL,1486266589420,1
1486267775894,382550916,217437660,STILL,1486267829424,1
1486267883893,382550916,217437660,STILL,1486267921772,1
1486268739602,382550916,217437660,STILL,1486268739831,1
1486268799243,382550916,217437660,STILL,1486268805414,1
1486269776339,382550916,217437660,STILL,1486269776236,1
1486270077697,382550916,217437660,STILL,1486270077792,1
1486271073137,382550916,217437660,STILL,1486270928065,1
1486271749309,382550916,217437660,STILL,1486271849898,1
1486272062000,382526546,217443345,STILL,1486272058998,1
1486273521775,382550916,217437660,STILL,1486273528015,1
1486274532037,382550916,217437660,STILL,1486274556612,1
1486275155990,382550916,217437660,STILL,1486275028118,1
1486275169000,382528876,217442728,STILL,1486275169345,1
1486275869048,382550916,217437660,STILL,1486275875126,1
1486276177737,382550916,217437660,STILL,1486276183895,1
1486277298544,382550916,217437660,STILL,1486277330496,1
1486278419689,382550916,217437660,STILL,1486278441680,1
1486279453368,382550916,217437660,STILL,1486279453535,1
1486280733710,382550916,217437660,STILL,1486280733929,1
1486281722861,382550916,217437660,STILL,1486281593184,1
1486281722861,382550916,217437660,STILL,1486281730513,1
1486282358870,382550916,217437660,STILL,1486282362208,1
1486283282841,382550916,217437660,STILL,1486283282691,1
1486283734830,382550916,217437660,STILL,1486283768840,1
1486284376739,382550916,217437660,STILL,1486284376965,1
1486284496385,382550916,217437660,STILL,1486284502487,1
1486284815983,382550916,217437660,STILL,1486284823381,1
1486285462482,382550916,217437660,STILL,1486285462708,1
1486286074304,382550916,217437660,STILL,1486286066898,1
1486287360378,382550916,217437660,STILL,1486287360664,1
1486289020144,382550916,217437660,STILL,1486289020187,1
1486289384967,382550916,217437660,STILL,1486289385169,1
1486290064340,382550916,217437660,STILL,1486290070593,1
1486291798785,382550916,217437660,STILL,1486291798995,1
1486292123240,382550916,217437660,STILL,1486292123985,1
1486293877157,382550916,217437660,STILL,1486293971953,1
1486294180912,382550916,217437660,STILL,1486294187118,1
1486294790539,382550916,217437660,STILL,1486294790710,1
1486295314526,382550916,217437660,STILL,1486295314779,1
1486296084255,382550916,217437660,STILL,1486296084339,1
1486296616256,382550916,217437660,STILL,1486296622460,1
1486297230864,382550916,217437660,STILL,1486297231340,1
1486297780339,382550916,217437660,STILL,1486297780594,1
1486298415442,382550916,217437660,STILL,1486298415624,1
1486298750255,382550916,217437660,STILL,1486298756478,1
1486299059040,382550916,217437660,STILL,1486299113475,1
1486299974893,382550916,217437660,STILL,1486299974796,1
1486301736600,382550916,217437660,STILL,1486301736528,1
1486302319354,382550916,217437660,STILL,1486302319571,1
1486302379356,382550916,217437660,STILL,1486302385404,1
1486303052139,382550916,217437660,STILL,1486303058391,1
1486303361071,382550916,217437660,STILL,1486303377700,1
1486303665621,382550916,217437660,STILL,1486303811477,1
1486303972023,382550916,217437660,STILL,1486303972037,1
1486304521928,382550916,217437660,STILL,1486304522084,1
1486305946275,382550916,217437660,STILL,1486305868205,1
1486305946275,382550916,217437660,STILL,1486305952422,1
1486306652955,382550916,217437660,STILL,1486306659318,1
1486306961882,382550916,217437660,STILL,1486306969521,1
1486307268854,382550916,217437660,STILL,1486307268797,1
1486308408483,382550916,217437660,STILL,1486308454746,1
1486308569462,382550916,217437660,STILL,1486308575128,1
1486309174681,382550916,217437660,STILL,1486309180783,1
1486309478224,382550916,217437660,STILL,1486309351377,1
1486309840290,382550916,217437660,STILL,1486309847799,1
1486310452589,382550916,217437660,STILL,1486310452789,1
1486311254412,382550916,217437660,STILL,1486311254538,1
1486311794709,382550916,217437660,STILL,1486311869079,1
1486312277762,382550916,217437660,STILL,1486312277955,1
1486312579983,382550916,217437660,STILL,1486312586094,1
1486312891733,382550916,217437660,STILL,1486312894670,1
1486313580771,382550916,217437660,STILL,1486313506021,1
